"#","ML#","Type","","Curr Price","Status","Address","Subd/Complex","Area","City","County","Total Bedrooms","Total Full Baths","Total Half Baths","Year Built","Photo Count","List Date","Expiration Date","Closing Date"
"1","5789542","DET","","$599,900","A","255 Grandmar Chase","Woodmont","113","Canton","Cherokee","6","5","0","2003","39","01/06/2017","",""
"1","5789663","DET","","$599,900","A","630 Vinings Estates Drive SE","Vinings Estates","72","Mableton","Cobb","6","5","1","2000","27","01/07/2017","",""
"1","5790342","DET","","$599,900","A","6806 Cherokee Rose Way","Sterling on the Lake","265","Flowery Branch","Hall","5","4","1","2016","20","01/07/2017","",""
"1","5790378","ATT","","$595,000","A","700 Park Regency Place NE Unit#1901","Park Regency","21","Atlanta","Fulton","3","2","1","2001","22","01/07/2017","",""
"1","5790380","DET","","$595,000","A","920 Cold Harbor Drive","LITCHFIELD HUNDRED","13","Roswell","Fulton","5","4","1","1985","20","01/07/2017","",""
"1","5790015","DET","","$575,000","A","5475 Shiver Summit","Ridgeview Forest","132","Atlanta","Fulton","5","2","1","1978","22","01/06/2017","",""
"1","5789483","DET","","$565,000","A","4279 Sierra Creek Drive","Sierra Creek","61","Hoschton","Gwinnett","5","5","1","2007","40","01/06/2017","",""
"1","5790369","DET","","$560,000","A","705 Pershing Avenue SE","Boulevard Heights","23","Atlanta","Fulton","4","3","1","2007","40","01/07/2017","",""
"1","5790325","DET","","$559,900","A","5665 Commons Lane","Seven Oaks","14","Johns Creek","Fulton","6","4","1","1990","40","01/06/2017","",""
"1","5790196","DET","","$550,000","A","560 Brayford Way","LAUREL SPRINGS","221","Suwanee","Forsyth","5","4","1","1998","37","01/06/2017","",""
"1","5790209","DET","","$550,000","A","560 Brayford Way","LAUREL SPRINGS","221","Suwanee","Forsyth","5","4","1","1998","37","01/06/2017","",""
"1","5790097","DET","","$549,900","A","2609 Leslie Drive NE","Northhampton","52","Atlanta","Dekalb","4","3","1","1969","38","01/06/2017","",""
"1","5790354","DET","","$549,000","A","94 Cox Point","Big Canoe","331","Jasper","Pickens","5","4","1","2013","35","01/06/2017","",""
"1","5790412","DET","","$544,900","A","2065 Walker Avenue","HISTORIC COLLEGE PARK","31","College Park","Fulton","5","4","1","1941","35","01/07/2017","",""
"1","5790074","DET","","$539,000","A","707 Saybeck Way","Crabapple Crossroads","13","Milton","Fulton","4","3","1","2013","40","01/06/2017","",""
"1","5790195","DET","","$510,000","A","2830 Portabella Lane","Lakeside Farms","221","Cumming","Forsyth","5","4","1","1995","40","01/06/2017","",""
"1","5790303","DET","","$500,000","A","3324 Stillbrook Pass","Glenmoor","82","Marietta","Cobb","5","3","1","1997","40","01/06/2017","",""
"1","5788967","DET","","$475,000","A","6339 Farmview Drive NW","The Farm at Brookstone","74","Acworth","Cobb","5","4","0","2012","39","01/06/2017","",""
"1","5789947","DET","","$474,900","A","2930 Walker Drive","Rogers Acres","82","Marietta","Cobb","4","3","0","1966","37","01/06/2017","",""
"1","5790219","DET","","$459,900","A","3561 Kilpatrick Lane","Lochwolde","65","Snellville","Gwinnett","4","4","1","1993","35","01/06/2017","",""
"1","5789936","ATT","","$456,650","A","5950 Redwine Street Unit#Lot 86","Seven Norcross","61","Norcross","Gwinnett","3","2","1","2016","0","01/06/2017","",""
"1","5789390","DET","","$450,000","A","5015 Magnolia Bluff Drive","River Bluff","121","Sandy Springs","Fulton","4","4","1","1984","40","01/06/2017","",""
"1","5790043","DET","","$450,000","A","13494 Cumming Highway","none","113","Cumming","Cherokee","4","3","0","1968","5","01/06/2017","",""
"1","5790206","DET","","$450,000","A","120 Ashland Drive NE","Inman Park","23","Atlanta","Fulton","2","2","0","1935","22","01/06/2017","",""
"1","5787375","ATT","","$449,900","A","860 Peachtree Street NE Unit#2118","Spire Residential Condo","23","Atlanta","Fulton","2","2","0","2005","24","01/07/2017","",""
"1","5790243","DET","","$449,000","A","201 Birkdale Boulevard","Oak Mountain Championship","231","Carrollton","Carroll","5","4","1","2002","2","01/06/2017","",""
"1","5790007","DET","","$445,000","A","563 Owl Creek Drive","Browns Farm","74","Powder Springs","Cobb","5","4","1","1999","40","01/06/2017","",""
"1","5790337","ATT","","$444,900","A","2171 Elmont Way","Lylebrooke","72","Smyrna","Cobb","3","2","1","2017","6","01/07/2017","",""
"1","5789933","ATT","","$440,015","A","5946 Redwine Street Unit#Lot 88","Seven Norcross","61","Norcross","Gwinnett","3","2","1","2016","0","01/06/2017","",""
"1","5789935","ATT","","$439,991","A","5948 Redwine Street Unit#Lot 87","Seven Norcross","61","Norcross","Gwinnett","3","2","1","2016","0","01/06/2017","",""
"1","5790048","DET","","$439,900","A","778 Grant Street SE","Grant Park","32","Atlanta","Fulton","4","2","1","1920","25","01/06/2017","",""
"1","5790065","DET","","$429,000","A","4470 Sloan Ridge","Green Summers Sub Ph 2","223","Cumming","Forsyth","5","5","0","2008","6","01/06/2017","",""
"1","5787930","DET","","$425,000","A","2639 Ridgemore Road NW","Ridgewood Heights","22","Atlanta","Fulton","4","2","0","1954","17","01/06/2017","",""
"1","5790034","DET","","$425,000","A","402 Woodruff Crossing","Eagle Watch","112","Woodstock","Cherokee","5","4","1","1989","39","01/06/2017","",""
